t_contact_s,theta_err_t1_deg,theta_err_t2_deg,total_error_deg,fn_est_N,moment_t1_est_Nm,old_gamma_t1_deg,tool_normal_x,tool_normal_y,tool_normal_z
2.765,7.971460932,2.225819779,8.276379829,-77.1791646585,2.43859712105,1.32366065757,-0.055771940979,0.111235351688,-0.992227890726
2.766,7.969562639,2.226857634,8.274830728,-77.2305852786,2.48906361634,1.32545432087,-0.0557901069502,0.111202430455,-0.992230559612
2.767,7.967730442,2.228693465,8.273560476,-77.2232751136,2.53572064714,1.32717720873,-0.0558221282263,0.111170650827,-0.992232319769
2.768,7.965389478,2.229563057,8.271540422,-77.1490529659,2.57771919741,1.3294022974,-0.0558374042828,0.111130053791,-0.992236007927
2.769,7.962895899,2.230982291,8.269521938,-77.0178762261,2.61410092979,1.3318394117,-0.0558622379511,0.111086807158,-0.992239452777
2.77,7.960315462,2.231840835,8.267268942,-76.8425746951,2.64158872331,1.33436257544,-0.0558773385489,0.111042056341,-0.9922436116
2.771,7.957325688,2.232590515,8.264592701,-76.6362909965,2.65605492213,1.33732687972,-0.0558905794784,0.110990208082,-0.992248666835
2.772,7.954262558,2.232877216,8.261720978,-76.4118585366,2.65479330385,1.34038590424,-0.0558957824295,0.110937088923,-0.992254314079
2.773,7.951289295,2.23353445,8.259036118,-76.1853435071,2.63736129572,1.34336582929,-0.0559074157593,0.110885526678,-0.992259422145
2.774,7.94809688,2.23394709,8.256074346,-75.9765484292,2.60627503802,1.34661296669,-0.0559148164385,0.110830165191,-0.992265190252
2.775,7.945117106,2.234073589,8.253240008,-75.8063444132,2.56328223,1.34965501777,-0.0559172309187,0.110778491935,-0.992270824428
2.776,7.94220647,2.233916057,8.250395419,-75.6883847588,2.51234435395,1.35263721715,-0.0559147074754,0.110728018452,-0.992276600257
2.777,7.939429131,2.232981554,8.247468796,-75.6231974096,2.45818157303,1.35551237701,-0.0558986778285,0.110679858786,-0.992282876339
2.778,7.936475533,2.231436027,8.244207095,-75.6112323617,2.40189486594,1.35856752857,-0.0558720467894,0.11062864525,-0.992290087241
2.779,7.934015757,2.229910877,8.241426366,-75.6538527524,2.34490643746,1.36111513131,-0.0558457344293,0.110585995415,-0.992296322458
2.78,7.931677085,2.22823506,8.238721555,-75.7498307542,2.28935698836,1.36355229237,-0.0558167954876,0.110545445794,-0.992302468885
2.781,7.929589468,2.22675547,8.236311617,-75.8918219908,2.2383853795,1.36573509827,-0.0557912469021,0.110509249027,-0.992307937411
2.782,7.928230641,2.225299061,8.234609706,-76.0740696617,2.19687193812,1.36717141833,-0.0557660482307,0.110485691184,-0.992311977106
2.783,7.927491599,2.224798761,8.233762966,-76.2902140655,2.16858433394,1.3679659043,-0.0557574110647,0.110472876279,-0.992313889209
2.784,7.926660912,2.22369507,8.232664999,-76.5381255362,2.15593226429,1.3688416223,-0.0557383007181,0.110458475252,-0.99231656596
2.785,7.925959344,2.222397365,8.231639057,-76.8226565611,2.1594272814,1.36957057876,-0.0557158099428,0.110446314624,-0.992319182576
2.786,7.925334158,2.221962626,8.230919719,-77.1242956877,2.1772603677,1.37018220139,-0.0557083041272,0.110435474463,-0.99232081044
2.787,7.924706145,2.221627658,8.230224598,-77.4113788709,2.20845385391,1.37077071418,-0.055702531685,0.110424584526,-0.992322346365
2.788,7.923667805,2.221041923,8.229066697,-77.6620247316,2.25041633874,1.37174578954,-0.0556924319085,0.110406580623,-0.992324916539
2.789,7.922550957,2.22184014,8.228206808,-77.8594318294,2.29874972478,1.37277585047,-0.0557063791029,0.110387208724,-0.992326288817
2.79,7.921473294,2.222454774,8.227335193,-77.9961900218,2.35075012082,1.37376629494,-0.0557171335241,0.110368517013,-0.992327764141
2.791,7.920190555,2.223090346,8.226271884,-78.0787811084,2.40387095751,1.37494168073,-0.0557282661351,0.110346269222,-0.992329613194
2.792,7.91857014,2.223417717,8.224800265,-78.1156634067,2.45733177667,1.37644773139,-0.0557340710322,0.110318165929,-0.992332411842
2.793,7.916609155,2.224998701,8.223339938,-78.1082306993,2.51027400411,1.37829217658,-0.0557616753833,0.110284151783,-0.992334641854
2.794,7.914511233,2.226256537,8.221660795,-78.058975571,2.55858883005,1.38028539837,-0.0557836762843,0.11024776384,-0.992337448668
2.795,7.911921427,2.227757213,8.219574372,-77.9715057122,2.59658667638,1.38277363134,-0.0558099312901,0.110202843918,-0.992340961949
2.796,7.909235285,2.228822944,8.217277805,-77.8426324148,2.62162283376,1.38537232177,-0.0558286383456,0.110156255149,-0.992345082414
2.797,7.906363326,2.229544871,8.214709451,-77.6756653296,2.63437834961,1.38819454985,-0.0558413868399,0.110106445111,-0.992349893062
2.798,7.903240051,2.230215516,8.211885566,-77.4819679201,2.63581381297,1.39128479536,-0.0558532632002,0.110052276659,-0.992355233468
2.799,7.899957083,2.230621904,8.208836457,-77.273534934,2.62596828105,1.3945602128,-0.0558605605031,0.109995339143,-0.992361135448
2.8,7.896723006,2.231414893,8.205939718,-77.0568410574,2.60419589751,1.39780468519,-0.0558745689361,0.109939247263,-0.992366562545
